username,userid,password,nama,role
fajar,75349597,fajar,fajar,pegawai
siti,50505050,siti,siti,admin
purnomo,38680988,purnomo,purnomo,pegawai
arif,13480139,arif,arif,pegawai
aura,13587850,aura,aura,pegawai
putu,52820041,putu,putu,pegawai
a,99999999,a,a,pegawai
aji,26308308,aji,aji,pegawai
kilo,22367592,kilo,kilo,admin
jis,57918968,jis,jis,admin
poli,84829259,poil,poil,pegawai
hiu,29423664,hiu,hiu,admin
vv,62901200,vv,vv,pegawai
jj,49886258,jj,jj,pegawai
gg,22391401,gg,gg,pegawai
oo,67915989,oo,oo,pegawai
dd,88571386,dd,dd,pegawai
bb,89936936,bb,bb,pegawai
red,56207803,hisenk,,pegawai
bagas,95926694,bagas,bagas,pegawai
bom,45873020,12,12,pegawai
budi,63961665,budi,budi,pegawai
bibi,47632829,bibi,bibi,pegawai
